Date,Consumption
01-01-2006,1069.184
02-01-2006,1380.521
03-01-2006,1442.533
04-01-2006,1457.217
05-01-2006,1477.131
06-01-2006,1403.427
07-01-2006,1300.287
08-01-2006,1207.985
09-01-2006,1529.323
10-01-2006,1576.911
11-01-2006,1577.176
12-01-2006,1553.28
13-01-2006,1545.002
14-01-2006,1359.945
15-01-2006,1265.475
16-01-2006,1563.738
17-01-2006,1598.303
18-01-2006,1572.984
19-01-2006,1558.29
20-01-2006,1540.604
21-01-2006,1348.188
22-01-2006,1248.111
23-01-2006,1569.691
24-01-2006,1603.252
25-01-2006,1613.312
26-01-2006,1601.673
27-01-2006,1586.065
28-01-2006,1373.03
29-01-2006,1252.215
30-01-2006,1554.722
31-01-2006,1575.129
01-02-2006,1582.134
02-02-2006,1595.717
03-02-2006,1577.786
04-02-2006,1366.322
05-02-2006,1258.013
06-02-2006,1557.525
07-02-2006,1606.667
08-02-2006,1590.896
09-02-2006,1599.129
10-02-2006,1554.631
11-02-2006,1346.104
12-02-2006,1232.568
13-02-2006,1521.456
14-02-2006,1551.373
15-02-2006,1562.656
16-02-2006,1523.719
17-02-2006,1495.913
18-02-2006,1297.385
19-02-2006,1173.05
20-02-2006,1501.246
21-02-2006,1544.112
22-02-2006,1543.107
23-02-2006,1523.491
24-02-2006,1507.235
25-02-2006,1309.603
26-02-2006,1204.766
27-02-2006,1444.899
28-02-2006,1507.49
01-03-2006,1531.173
02-03-2006,1539.951
03-03-2006,1510.884
04-03-2006,1323.303
05-03-2006,1220.395
06-03-2006,1502.191
07-03-2006,1514.012
08-03-2006,1545.834
09-03-2006,1498.444
10-03-2006,1475.327
11-03-2006,1320.368
12-03-2006,1218.407
13-03-2006,1494.832
14-03-2006,1514.066
15-03-2006,1518.04
16-03-2006,1516.898
17-03-2006,1495.324
18-03-2006,1280.717
19-03-2006,1160.078
20-03-2006,1446.238
21-03-2006,1470.34
22-03-2006,1471.667
23-03-2006,1456.016
24-03-2006,1444.75
25-03-2006,1231.067
26-03-2006,1116.743
27-03-2006,1400.982
28-03-2006,1435.152
29-03-2006,1438.405
30-03-2006,1457.454
31-03-2006,1429.066
01-04-2006,1207.769
02-04-2006,1110.026
03-04-2006,1422.789
04-04-2006,1436.699
05-04-2006,1447.798
06-04-2006,1432.853
07-04-2006,1394.98
08-04-2006,1195.959
09-04-2006,1104.106
10-04-2006,1408.169
11-04-2006,1419.301
12-04-2006,1425.712
13-04-2006,1415.542
14-04-2006,1118.396
15-04-2006,1086.018
16-04-2006,986.875
17-04-2006,1009.094
18-04-2006,1349.563
19-04-2006,1368.456
20-04-2006,1362.217
21-04-2006,1333.266
22-04-2006,1152.943
23-04-2006,1042.414
24-04-2006,1345.851
25-04-2006,1359.806
26-04-2006,1374.322
27-04-2006,1384.681
28-04-2006,1362.57
29-04-2006,1167.24
30-04-2006,1026.352
01-05-2006,986.698
02-05-2006,1329.821
03-05-2006,1348.188
04-05-2006,1348.343
05-05-2006,1330.52
06-05-2006,1115.442
07-05-2006,998.308
08-05-2006,1321.782
09-05-2006,1353.229
10-05-2006,1351.4
11-05-2006,1337.502
12-05-2006,1320.006
13-05-2006,1123.926
14-05-2006,1010.284
15-05-2006,1317.849
16-05-2006,1360.65
17-05-2006,1346.098
18-05-2006,1365.406
19-05-2006,1348.465
20-05-2006,1175.273
21-05-2006,1050.17
22-05-2006,1358.082
23-05-2006,1374.495
24-05-2006,1339.565
25-05-2006,1053.351
26-05-2006,1213.465
27-05-2006,1108.266
28-05-2006,1065.343
29-05-2006,1349.247
30-05-2006,1376.794
31-05-2006,1380.175
01-06-2006,1367.751
02-06-2006,1323.231
03-06-2006,1100.889
04-06-2006,955.373
05-06-2006,975.632
06-06-2006,1306.362
07-06-2006,1325.818
08-06-2006,1328.546
09-06-2006,1311.784
10-06-2006,1114.527
11-06-2006,1004.853
12-06-2006,1329.591
13-06-2006,1356.201
14-06-2006,1352.012
15-06-2006,1140.329
16-06-2006,1254.954
17-06-2006,1103.62
18-06-2006,1007.067
19-06-2006,1351.989
20-06-2006,1369.855
21-06-2006,1372.489
22-06-2006,1360.594
23-06-2006,1316.964
24-06-2006,1114.386
25-06-2006,1028.869
26-06-2006,1345.379
27-06-2006,1352.603
28-06-2006,1340.042
29-06-2006,1343.637
30-06-2006,1298.103
01-07-2006,1106.618
02-07-2006,997.896
03-07-2006,1327.143
04-07-2006,1356.526
05-07-2006,1377.781
06-07-2006,1377.99
07-07-2006,1360.061
08-07-2006,1138.65
09-07-2006,1018.423
10-07-2006,1335.241
11-07-2006,1360.208
12-07-2006,1358.226
13-07-2006,1361.493
14-07-2006,1324.459
15-07-2006,1093.701
16-07-2006,993.289
17-07-2006,1305.246
18-07-2006,1333.029
19-07-2006,1342.708
20-07-2006,1351.823
21-07-2006,1333.344
22-07-2006,1136.7
23-07-2006,1025.408
24-07-2006,1330.557
25-07-2006,1349.825
26-07-2006,1356.689
27-07-2006,1348.649
28-07-2006,1327.514
29-07-2006,1122.14
30-07-2006,1010.922
31-07-2006,1289.926
01-08-2006,1303.048
02-08-2006,1291.219
03-08-2006,1284.089
04-08-2006,1262.645
05-08-2006,1087.245
06-08-2006,994.466
07-08-2006,1268.803
08-08-2006,1286.839
09-08-2006,1285.66
10-08-2006,1294.077
11-08-2006,1274.989
12-08-2006,1088.709
13-08-2006,985.959
14-08-2006,1266.844
15-08-2006,1282.22
16-08-2006,1292.058
17-08-2006,1298.837
18-08-2006,1290.869
19-08-2006,1095.066
20-08-2006,1023.166
21-08-2006,1320.274
22-08-2006,1341.316
23-08-2006,1325.545
24-08-2006,1330.924
25-08-2006,1323.755
26-08-2006,1126.495
27-08-2006,1032.319
28-08-2006,1344.455
29-08-2006,1353.885
30-08-2006,1373.313
31-08-2006,1347.763
01-09-2006,1339.468
02-09-2006,1138.742
03-09-2006,1093.767
04-09-2006,1400.634
05-09-2006,1398.368
06-09-2006,1394.28
07-09-2006,1403.4
08-09-2006,1365.061
09-09-2006,1135.574
10-09-2006,1047.285
11-09-2006,1379.243
12-09-2006,1396.303
13-09-2006,1398.321
14-09-2006,1400.087
15-09-2006,1397.504
16-09-2006,1188.876
17-09-2006,1064.353
18-09-2006,1390.863
19-09-2006,1404.479
20-09-2006,1386.332
21-09-2006,1385.803
22-09-2006,1380.783
23-09-2006,1175.308
24-09-2006,1069.175
25-09-2006,1401.1
26-09-2006,1424.304
27-09-2006,1417.328
28-09-2006,1401.731
29-09-2006,1383.458
30-09-2006,1173.168
01-10-2006,1058.268
02-10-2006,1286.932
03-10-2006,1116.572
04-10-2006,1375.636
05-10-2006,1397.459
06-10-2006,1428.592
07-10-2006,1227.91
08-10-2006,1097.087
09-10-2006,1406.128
10-10-2006,1433.588
11-10-2006,1429.996
12-10-2006,1432.512
13-10-2006,1426.507
14-10-2006,1203.526
15-10-2006,1089.685
16-10-2006,1415.474
17-10-2006,1445.882
18-10-2006,1448.511
19-10-2006,1451.647
20-10-2006,1434.666
21-10-2006,1232.339
22-10-2006,1116.473
23-10-2006,1461.803
24-10-2006,1504.192
25-10-2006,1468.365
26-10-2006,1482.747
27-10-2006,1476.272
28-10-2006,1242.024
29-10-2006,1173.761
30-10-2006,1413.066
31-10-2006,1460.399
01-11-2006,1352.658
02-11-2006,1479.071
03-11-2006,1479.9
04-11-2006,1297.959
05-11-2006,1242.064
06-11-2006,1521.545
07-11-2006,1506.669
08-11-2006,1518.364
09-11-2006,1557.411
10-11-2006,1484.26
11-11-2006,1327.664
12-11-2006,1226.642
13-11-2006,1533.554
14-11-2006,1523.361
15-11-2006,1504.301
16-11-2006,1490.779
17-11-2006,1478.095
18-11-2006,1270.72
19-11-2006,1168.114
20-11-2006,1509.712
21-11-2006,1521.778
22-11-2006,1512.51
23-11-2006,1552.044
24-11-2006,1494.088
25-11-2006,1304.453
26-11-2006,1155.541
27-11-2006,1486.959
28-11-2006,1520.421
29-11-2006,1532.762
30-11-2006,1531.525
01-12-2006,1518.198
02-12-2006,1332.812
03-12-2006,1214.524
04-12-2006,1548.124
05-12-2006,1569.48
06-12-2006,1545.3
07-12-2006,1566.124
08-12-2006,1549.681
09-12-2006,1305.841
10-12-2006,1194.85
11-12-2006,1578.983
12-12-2006,1561.264
13-12-2006,1590.009
14-12-2006,1593.613
15-12-2006,1543.073
16-12-2006,1349.181
17-12-2006,1220.188
18-12-2006,1514.852
19-12-2006,1525.667
20-12-2006,1527.593
21-12-2006,1475.71
22-12-2006,1391.579
23-12-2006,1235.688
24-12-2006,1099.201
25-12-2006,1072.746
26-12-2006,1075.922
27-12-2006,1284.676
28-12-2006,1314.603
29-12-2006,1274.646
30-12-2006,1237.751
31-12-2006,1144.398
01-01-2007,1128.843
02-01-2007,1416.669
03-01-2007,1471.586
04-01-2007,1514.823
05-01-2007,1484.168
06-01-2007,1249.663
07-01-2007,1173.687
08-01-2007,1510.013
09-01-2007,1554.889
10-01-2007,1556.122
11-01-2007,1596.639
12-01-2007,1567.453
13-01-2007,1350.886
14-01-2007,1250.781
15-01-2007,1518.88
16-01-2007,1550.792
17-01-2007,1564.22
18-01-2007,1544.324
19-01-2007,1533.347
20-01-2007,1344.002
21-01-2007,1257.521
22-01-2007,1544.182
23-01-2007,1550.71
24-01-2007,1582.538
25-01-2007,1580.233
26-01-2007,1632.587
27-01-2007,1392.674
28-01-2007,1321.527
29-01-2007,1564.383
30-01-2007,1572.655
31-01-2007,1598.002
01-02-2007,1531.493
02-02-2007,1523.781
03-02-2007,1335.646
04-02-2007,1204.853
05-02-2007,1484.894
06-02-2007,1545.558
07-02-2007,1572.704
08-02-2007,1571.158
09-02-2007,1549.471
10-02-2007,1361.316
11-02-2007,1215.285
12-02-2007,1464.08
13-02-2007,1526.139
14-02-2007,1529.17
15-02-2007,1512
16-02-2007,1485.307
17-02-2007,1302.74
18-02-2007,1180.318
19-02-2007,1375.764
20-02-2007,1451.475
21-02-2007,1502.439
22-02-2007,1484.769
23-02-2007,1478.803
24-02-2007,1320.029
25-02-2007,1190.847
26-02-2007,1449.965
27-02-2007,1510.069
28-02-2007,1505.489
01-03-2007,1524.813
02-03-2007,1508.97
03-03-2007,1278.173
04-03-2007,1138.079
